"#Proportion of population with access to electricity, by urban/rural (%) The percentage of the population that has access to electricity, based on national household surveys. Given the low frequency and the regional distribution of some surveys, a number of countries have gaps in available data. To develop the historical evolution and starting point of electrification rates, a simple modeling approach was adopted to fill in the missing data points - around 1990, 2000, 2010 and 2012. This modeling approach allowed the estimation of electrification rates for 212 countries over these time periods. The SE4ALL Global Tracking Framework Report (2013) referenced below provides more details on the suggested methodology for tracking access to energy (Chapter 2, Section 1, page 82-87)."
Year,"Anguilla","Antigua and Barbuda","Aruba","Bahamas","Bahrain","Barbados","Belize","Bermuda","Virgin Islands, British","Cabo Verde","Cayman Islands","Comoros","Cook Islands","Cuba","Curaçao","Dominica","Dominican Republic","Fiji","Grenada","Guinea-Bissau","Guyana","Haiti","Jamaica","Kiribati","Saint Kitts and Nevis","Maldives","Marshall Islands","Mauritius","Micronesia, Federated States of","Montserrat","Nauru","Niue","Palau","Papua New Guinea","Saint Lucia","Samoa","Sao Tome and Principe","Seychelles","Singapore","Sint Maarten","Solomon Islands","Saint Vincent and the Grenadines","Suriname","Timor-Leste","Tokelau","Tonga","Trinidad and Tobago","Turks and Caicos Islands","Tuvalu","Vanuatu"
2000,No Data,96.59548,100,100,100,100,65.697,100,97.18815,31.52543,100,30.10852,No Data,87.84293,100,No Data,76.15838,61.27054,No Data,No Data,69.4178,7.05527,77.30647,26.08173,93.23101,77.87589,23.16329,98.25571,39.09987,No Data,No Data,No Data,95.98494,No Data,87.02093,84.97453,40.06115,88.90875,100,No Data,No Data,74.38998,90.84423,0.96316,No Data,82.36281,80.2472,72.29437,93.47309,6.74808
2001,No Data,96.75639,100,100,100,100,67.38752,100,97.32664,33.7098,100,32.66405,No Data,85.24678,100,No Data,77.828,63.12297,No Data,No Data,70.21237,13.18569,82.2656,28.95484,90.66311,82.71618,26.26456,98.76854,41.50423,No Data,No Data,No Data,96.24537,1.75527,87.62721,85.88217,36.59066,89.52036,100,No Data,No Data,78.84661,90.63674,10.73787,No Data,83.25593,93.09079,66.08316,93.69677,8.61585
2002,No Data,100,100,100,100,100,68.85504,100,97.45352,30.72216,100,33.21569,No Data,82.27108,100,No Data,77.76927,67.84325,No Data,No Data,70.9952,9.96336,80.16178,32.41084,94.0615,83.68811,29.45179,98.95748,43.41996,No Data,No Data,No Data,96.47961,4.28021,88.5956,86.81424,37.60881,92.95691,100,No Data,0.5191,78.03366,90.40835,7.73328,No Data,84.1402,93.58933,66.94284,93.95124,10.48113
2003,No Data,97.07985,100,100,100,100,70.30734,100,97.56769,38.22245,100,37.74305,No Data,86.51041,100,No Data,78.47057,68.4313,No Data,No Data,71.79387,18.73468,80.23156,35.85488,94.45646,84.67805,32.72056,98.75387,45.32735,No Data,No Data,No Data,96.67958,6.79758,89.37292,87.75061,38.61142,90.70678,100,No Data,3.65805,79.85899,90.15239,12.11883,No Data,85.0165,94.08847,67.91488,94.08812,12.34357
2004,No Data,97.2355,100,100,100,100,71.74328,100,97.66772,40.54984,100,40.26726,No Data,87.14032,100,No Data,80.2053,68.72196,No Data,No Data,72.58629,8.65643,81.18388,39.28628,94.8393,85.68788,36.06208,98.73294,47.22735,No Data,No Data,No Data,96.76137,9.30971,90.11416,88.67408,39.61706,91.27717,100,No Data,6.81054,81.68467,89.86164,14.52366,No Data,85.88599,94.58507,68.93136,94.24078,14.20598
2005,No Data,100,100,100,100,100,73.1613,100,97.7521,42.4578,100,42.77552,No Data,87.71148,100,No Data,79.72761,70.59611,No Data,No Data,75.91959,8.37118,82.11742,51.20897,95.21051,86.72039,39.46944,98.69665,49.12101,No Data,No Data,No Data,96.98566,11.81695,90.82305,89.58611,40.62577,91.82923,100,No Data,9.97932,83.509,89.56004,17.96133,No Data,86.74942,95.04666,69.96092,94.37234,16.06861
2006,No Data,100,100,100,100,100,85.12734,100,97.82076,45.34531,100,45.26982,No Data,88.21703,100,No Data,80.73908,72.47142,No Data,2.07723,69.94086,6.83886,83.03066,50.78549,95.5716,87.81987,42.94176,98.6459,51.01218,No Data,No Data,No Data,96.78233,5.03425,91.50469,95.78745,41.632,98.82303,100,No Data,3.94606,85.33199,81.81567,21.40742,No Data,90.66723,100,70.9692,94.4794,9.23656
2007,No Data,100,100,100,100,100,75.9523,100,97.88057,47.82584,100,47.75577,No Data,88.67863,100,No Data,90.49895,83.11468,No Data,No Data,74.89648,7.69646,83.93326,48.55202,95.92832,89.05165,22.35869,98.58802,52.90375,No Data,No Data,No Data,96.72498,16.8285,92.16619,91.3862,42.64637,92.88716,100,No Data,No Data,86.55622,88.85279,19.94581,No Data,88.4658,100,71.99805,94.66244,17.8015
2008,No Data,100,100,100,100,100,77.34288,100,97.94033,50.38115,100,50.24016,No Data,89.1254,100,No Data,92.6172,75.36629,No Data,No Data,75.65937,7.31807,83.41559,51.45832,96.28731,90.30043,50.15787,98.53194,54.79948,No Data,No Data,No Data,96.64711,19.34041,92.81478,98.07418,43.68526,93.41411,100,No Data,19.61422,89.00848,88.47935,28.34372,No Data,89.32778,100,73.10975,94.65017,21.68556
2009,No Data,97.94482,100,100,100,100,78.74315,100,98.00918,53.03551,100,52.72899,No Data,89.58753,100,No Data,92.90401,78.12649,No Data,No Data,72.71347,6.92935,85.75368,42.96851,96.65524,99.9,53.96281,98.48638,56.70534,No Data,No Data,No Data,96.57333,9.34449,93.4569,97.44153,34.14197,93.95598,100,No Data,8.97804,90.8833,88.1184,31.84596,No Data,90.20081,100,100,94.73504,17.55652
2010,No Data,98.10731,100,100,100,100,84.06895,100,97.64984,65.68375,100,63.96059,No Data,90.09471,100,No Data,93.58837,81.78798,No Data,2.11542,79.73896,6.5346,88.01739,39.4071,99.90372,98.87995,80.42239,99.7293,58.77508,No Data,No Data,No Data,96.5309,11.76173,94.06342,95.71137,45.91883,94.17942,100,100,27.10957,92.79755,79.36969,20.57829,No Data,91.09008,100,100,94.83487,31.72947
2011,No Data,92.66983,100,100,100,100,87.85717,100,98.03424,67.89832,100,63.39151,No Data,90.67787,100,No Data,92.48682,82.94973,No Data,3.93066,80.88061,5.66797,84.48249,60.90193,100,99.01027,82.56949,99.4726,61.12238,No Data,No Data,No Data,96.55113,26.93312,94.74483,96.16958,47.15942,96.48349,100,100,31.62421,94.76316,87.51192,38.95036,No Data,90.59923,100,100,94.92912,27.71281
2012,No Data,100,100,100,100,100,85.86385,100,98.17564,69.60109,100,63.11798,No Data,91.38882,100,No Data,92.27649,84.19194,No Data,5.90677,81.99228,3.91841,88.1183,64.34775,100,99.12809,83.03428,99.40592,63.22857,No Data,No Data,No Data,94.87597,29.4466,95.62075,96.24183,42.76665,96.74872,100,100,36.17071,96.79265,87.304,42.56598,No Data,91.30022,100,100,96.16579,29.84955
2013,No Data,100,100,100,100,100,86.06544,100,98.39277,71.5209,100,62.85504,No Data,92.23522,100,No Data,93.44199,85.35782,No Data,7.94669,83.12397,3.00715,90.68543,68.58805,100,99.21844,84.26603,99.26427,65.22834,No Data,No Data,No Data,96.91671,31.99609,96.11381,96.95267,50.04776,96.15267,100,100,40.41705,98.89583,86.99633,46.23178,No Data,93.91754,100,100,95.31429,13.76412
2014,No Data,100,100,100,100,100,86.25107,100,98.72172,73.72713,100,65.45066,No Data,93.21616,100,No Data,93.63989,88.66131,No Data,5.82027,84.20784,2.26287,89.15356,77.62754,100,100,85.66267,99.20085,67.16354,No Data,No Data,No Data,99.15633,34.58221,96.77333,97.54474,52.41332,100,100,100,45.33889,100,86.88919,49.87842,No Data,94.91751,100,100,95.67152,36.17451
2015,No Data,100,100,100,100,100,87.55832,100,100,76.14046,100,68.06797,No Data,94.30555,100,No Data,93.91661,91.02566,No Data,8.9003,85.55513,2.54094,91.13658,92.95679,100,99.5327,87.39433,99.18752,69.2035,No Data,100,No Data,97.79516,37.65156,97.42027,98.95269,53.61857,100,100,100,51.50004,100,88.35015,55.68824,No Data,100,100,100,96.02504,39.89191
2016,No Data,100,100,100,100,100,89.38885,100,100,78.62112,100,70.70285,No Data,95.46939,100,No Data,95.03713,93.469,No Data,10.56945,86.92716,No Data,93.36802,96.99076,100,100,89.27409,99.4024,71.42025,No Data,No Data,No Data,100,44.91242,98.03434,99.61691,58.59277,100,100,100,55.07955,100,90.4651,67.18117,No Data,96.53306,100,100,93.79042,46.58964
2017,No Data,100,100,100,100,100,91.02072,100,100,80.99023,100,73.35143,No Data,96.67737,100,No Data,100,91.54717,No Data,12.37968,88.23208,3.06231,94.88386,82.86436,100,99.86496,91.31256,99.61,73.58444,No Data,No Data,No Data,100,50.45886,98.68276,96.10477,76.19553,100,100,100,60.41229,100,92.39763,71.26667,No Data,97.91059,100,100,97.3532,52.93934
2018,No Data,100,100,100,100,100,86.51377,100,100,84.96973,100,76.00948,No Data,97.91495,100,No Data,95.90138,98.79052,No Data,13.34286,89.29887,2.97257,96.6274,87.06604,100,100,97.0174,99.31133,75.46004,No Data,No Data,No Data,100,51.78337,99.3209,99.99412,55.74167,100,100,100,63.96145,100,94.2858,79.08078,No Data,98.89473,100,100,97.64504,51.04706
2019,No Data,100,100,100,100,100,87.83976,100,100,87.28791,100,78.67218,No Data,99.46315,100,No Data,96.29822,99.38156,No Data,14.33035,90.17096,2.64972,98.56327,91.61837,100,100,100,100,77.09456,No Data,100,No Data,100,56.1342,100,99.04576,68.06624,100,100,100,68.03982,100,95.41397,86.69058,No Data,97.92187,100,100,99.52813,54.39647
2020,No Data,100,100,100,100,100,96.07447,100,100,93.5137,100,81.3364,No Data,100,100,No Data,100,100,No Data,15.16809,90.94597,2.2002,100,96.43689,100,100,100,99.83576,78.82523,No Data,100,No Data,100,56.82716,100,100,71.0775,100,100,100,72.04631,100,96.68828,94.35544,No Data,100,100,100,99.13632,57.65036
